"","V1","V2","V3"
"1","pred_diff_B_RF_ordered","0.150027664391082"," "
"2","n","19076"," "
"3","kor","40.4810232753198","avg"
"4","szolgho","87.2040260012581","avg"
"5","iskveg","5.30289368840428","avg"
"6","feor_2","18.7945586076746","avg"
"7","feor_2","14","mode"
"8","ara","3.74507234221011","avg"
"9","kra","2.99507234221011","avg"
"10","letszam","1393.19778779618","avg"
"11","ttip","2","mode"
"12","kshregio","1","mode"
"13","ag1","3","mode"
"14","kol","0.118525896414343","avg"
"15","kag","0.0544663451457329","avg"
"16","ksz","0.0334451667016146","avg"
"17","ev","2013"," "
