"","V1","V2","V3"
"1","pred_diff_B_RF_ordered","0.0917132696779512"," "
"2","n","1472"," "
"3","kor","38.2663043478261","avg"
"4","szolgho","61.6868206521739","avg"
"5","iskveg","6.43478260869565","avg"
"6","feor_2","14.3349184782609","avg"
"7","feor_2","14","mode"
"8","ara","3.83220108695652","avg"
"9","kra","4","avg"
"10","letszam","50.4483695652174","avg"
"11","ttip","3","mode"
"12","kshregio","1","mode"
"13","ag1","7","mode"
"14","kol","0.0244565217391304","avg"
"15","kag","0.00815217391304348","avg"
"16","ksz","0.0577445652173913","avg"
"17","ev","2013"," "
