"","V1","V2","V3"
"1","pred_diff_B_RF_ordered","0.153748784632317"," "
"2","n","19824"," "
"3","kor","41.0180084745763","avg"
"4","szolgho","81.9639830508475","avg"
"5","iskveg","5.42998385794996","avg"
"6","feor_2","19.3155266343826","avg"
"7","feor_2","16","mode"
"8","ara","3.74732647296207","avg"
"9","kra","3.19264527845036","avg"
"10","letszam","1465.54600484262","avg"
"11","ttip","2","mode"
"12","kshregio","1","mode"
"13","ag1","3","mode"
"14","kol","0.172871267150928","avg"
"15","kag","0.0749596448748991","avg"
"16","ksz","0.0135694108151735","avg"
"17","ev","2016"," "
