"","V1","V2","V3"
"1","pred_diff_B_RF_ordered","0.0420622747518762"," "
"2","n","2179"," "
"3","kor","36.8109224414869","avg"
"4","szolgho","53.54199173933","avg"
"5","iskveg","6.47177604405691","avg"
"6","feor_2","12.3942175309775","avg"
"7","feor_2","13","mode"
"8","ara","3.8136759981643","avg"
"9","kra","4","avg"
"10","letszam","51.6223038090867","avg"
"11","ttip","1","mode"
"12","kshregio","1","mode"
"13","ag1","7","mode"
"14","kol","0.111519045433685","avg"
"15","kag","0.0165213400642497","avg"
"16","ksz","0.0243230839834787","avg"
"17","ev","2009"," "
