"","V1","V2","V3"
"1","pred_diff_B_RF_ordered","0.134941510080196"," "
"2","n","19364"," "
"3","kor","40.529642635819","avg"
"4","szolgho","85.6739826482132","avg"
"5","iskveg","5.37791778558149","avg"
"6","feor_2","19.1422743234869","avg"
"7","feor_2","15","mode"
"8","ara","3.6995455484404","avg"
"9","kra","3.13638711010122","avg"
"10","letszam","2484.61428423879","avg"
"11","ttip","2","mode"
"12","kshregio","1","mode"
"13","ag1","3","mode"
"14","kol","0.244732493286511","avg"
"15","kag","0.0388349514563107","avg"
"16","ksz","0.0254596157818633","avg"
"17","ev","2015"," "
