"","V1","V2","V3"
"1","pred_diff_B_RF_ordered","0.0774238146260155"," "
"2","n","1879"," "
"3","kor","38.5678552421501","avg"
"4","szolgho","57.3863757317722","avg"
"5","iskveg","6.64342735497605","avg"
"6","feor_2","15.8706758914316","avg"
"7","feor_2","16","mode"
"8","ara","3.89249600851517","avg"
"9","kra","4","avg"
"10","letszam","54.2676955827568","avg"
"11","ttip","3","mode"
"12","kshregio","1","mode"
"13","ag1","7","mode"
"14","kol","0.0154337413517829","avg"
"15","kag","0.018626929217669","avg"
"16","ksz","0.00212879191059074","avg"
"17","ev","2016"," "
