"","V1","V2","V3"
"1","pred_diff_B_RF_ordered","0.0373131435322747"," "
"2","n","1664"," "
"3","kor","38.0120192307692","avg"
"4","szolgho","60.2518028846154","avg"
"5","iskveg","6.43028846153846","avg"
"6","feor_2","13.9615384615385","avg"
"7","feor_2","14","mode"
"8","ara","3.77704326923077","avg"
"9","kra","4","avg"
"10","letszam","50.2698317307692","avg"
"11","ttip","1","mode"
"12","kshregio","1","mode"
"13","ag1","7","mode"
"14","kol","0.106370192307692","avg"
"15","kag","0.0132211538461538","avg"
"16","ksz","0.0420673076923077","avg"
"17","ev","2011"," "
