"","V1","V2","V3"
"1","pred_diff_B_RF_ordered","0.151425013138517"," "
"2","n","20430"," "
"3","kor","40.5487028879099","avg"
"4","szolgho","79.6790504160548","avg"
"5","iskveg","5.26720509055311","avg"
"6","feor_2","17.8907978463045","avg"
"7","feor_2","14","mode"
"8","ara","3.60944689182575","avg"
"9","kra","2.98928046989721","avg"
"10","letszam","2837.60102790015","avg"
"11","ttip","2","mode"
"12","kshregio","1","mode"
"13","ag1","3","mode"
"14","kol","0.300783162016642","avg"
"15","kag","0.0585413607440039","avg"
"16","ksz","0.0386196769456681","avg"
"17","ev","2012"," "
