"","V1","V2","V3","V4","V5"
"1","év","adatbázis","RF","regr","elemszam"
"2","2008","train","0.0394573705889912","0.134958221002494","30030"
"3","2008","test","0.0938819676823135","0.136027469450954","30271"
"4","2009","train","0.0412373290898943","0.142722817058702","29336"
"5","2009","test","0.0989498747245243","0.143893355667869","23992"
"6","2010","train","0.0401704821663917","0.138459944760029","29443"
"7","2010","test","0.0946668018850124","0.13875118036934","25392"
"8","2011","train","0.0384929758051218","0.133946151987948","29531"
"9","2011","test","0.0946492457705386","0.135452032559273","25626"
"10","2012","train","0.0354450544949214","0.122406389641977","29226"
"11","2012","test","0.0847032748752854","0.123878126674069","25374"
"12","2013","train","0.0337451551733405","0.119417993339658","30499"
"13","2013","test","0.0789737832208407","0.118139221651578","28455"
"14","2014","train","0.0424444907000561","0.139155466231887","30994"
"15","2014","test","0.0987808698575427","0.13867735733684","31752"
"16","2015","train","0.0350318411917763","0.121194822632957","30438"
"17","2015","test","0.0815716141825074","0.121265084569063","45676"
"18","2016","train","0.0340876433625907","0.11854984005389","29852"
"19","2016","test","0.0822526163039303","0.120496322976587","32551"
