"","V1","V2","V3"
"1","pred_diff_B_RF_ordered","0.0635202700777209"," "
"2","n","1622"," "
"3","kor","38.0406905055487","avg"
"4","szolgho","56.3896424167694","avg"
"5","iskveg","6.6078914919852","avg"
"6","feor_2","14.2965474722565","avg"
"7","feor_2","14","mode"
"8","ara","3.82860665844636","avg"
"9","kra","4","avg"
"10","letszam","50.2922318125771","avg"
"11","ttip","3","mode"
"12","kshregio","1","mode"
"13","ag1","7","mode"
"14","kol","0.0406905055487053","avg"
"15","kag","0.0135635018495684","avg"
"16","ksz","0.0258939580764488","avg"
"17","ev","2014"," "
