"","V1","V2","V3"
"1","pred_diff_B_RF_ordered","0.0497031425876686"," "
"2","n","1886"," "
"3","kor","36.9517497348887","avg"
"4","szolgho","53.6691410392365","avg"
"5","iskveg","6.22057264050901","avg"
"6","feor_2","13.2868504772004","avg"
"7","feor_2","14","mode"
"8","ara","3.70095440084836","avg"
"9","kra","4","avg"
"10","letszam","51.2619300106045","avg"
"11","ttip","1","mode"
"12","kshregio","1","mode"
"13","ag1","7","mode"
"14","kol","0.130434782608696","avg"
"15","kag","0.0286320254506893","avg"
"16","ksz","0.0424178154825027","avg"
"17","ev","2008"," "
