"","V1","V2","V3"
"1","pred_diff_B_RF_ordered","0.0331394702824624"," "
"2","n","1567"," "
"3","kor","38.1601786853861","avg"
"4","szolgho","55.791959157626","avg"
"5","iskveg","6.60689215060625","avg"
"6","feor_2","14.5513720485003","avg"
"7","feor_2","15","mode"
"8","ara","3.87874920229738","avg"
"9","kra","4","avg"
"10","letszam","49.5379706445437","avg"
"11","ttip","3","mode"
"12","kshregio","1","mode"
"13","ag1","7","mode"
"14","kol","0.0274409700063816","avg"
"15","kag","0.0121250797702616","avg"
"16","ksz","0.00701978302488832","avg"
"17","ev","2015"," "
