"","V1","V2","V3"
"1","pred_diff_B_RF_ordered","0.157725776671556"," "
"2","n","20215"," "
"3","kor","40.4335889191195","avg"
"4","szolgho","92.8889438535741","avg"
"5","iskveg","5.23383626020282","avg"
"6","feor_2","16.627801137769","avg"
"7","feor_2","13","mode"
"8","ara","3.57096215681425","avg"
"9","kra","3.07731882265644","avg"
"10","letszam","2899.6204798417","avg"
"11","ttip","2","mode"
"12","kshregio","1","mode"
"13","ag1","3","mode"
"14","kol","0.350878060845907","avg"
"15","kag","0.071283700222607","avg"
"16","ksz","0.0392282958199357","avg"
"17","ev","2010"," "
