"","V1","V2","V3"
"1","pred_diff_B_RF_ordered","0.133124861705546"," "
"2","n","18638"," "
"3","kor","40.4093786887005","avg"
"4","szolgho","81.8506814035841","avg"
"5","iskveg","5.34966198089924","avg"
"6","feor_2","18.6181457237901","avg"
"7","feor_2","14","mode"
"8","ara","3.69385127159566","avg"
"9","kra","2.98068462281361","avg"
"10","letszam","2056.23875952355","avg"
"11","ttip","2","mode"
"12","kshregio","1","mode"
"13","ag1","3","mode"
"14","kol","0.232106449189827","avg"
"15","kag","0.0503272883356583","avg"
"16","ksz","0.0248953750402404","avg"
"17","ev","2014"," "
