"","V1","V2","V3"
"1","pred_diff_B_RF_ordered","0.156812507270913"," "
"2","n","19406"," "
"3","kor","39.8105225188086","avg"
"4","szolgho","83.87204988148","avg"
"5","iskveg","5.09342471400598","avg"
"6","feor_2","17.8622075646707","avg"
"7","feor_2","14","mode"
"8","ara","3.63567968669484","avg"
"9","kra","3.08842625991961","avg"
"10","letszam","1070.44899005907","avg"
"11","ttip","1","mode"
"12","kshregio","1","mode"
"13","ag1","3","mode"
"14","kol","0.28702463155725","avg"
"15","kag","0.058074822219932","avg"
"16","ksz","0.0295784808822014","avg"
"17","ev","2008"," "
