"","V1","V2","V3"
"1","pred_diff_B_RF_ordered","0.144772526870764"," "
"2","n","20184"," "
"3","kor","40.1004756242568","avg"
"4","szolgho","92.421769718589","avg"
"5","iskveg","5.25629211256441","avg"
"6","feor_2","16.1862366230678","avg"
"7","feor_2","13","mode"
"8","ara","3.55306183115339","avg"
"9","kra","3.25326991676575","avg"
"10","letszam","2993.74358264804","avg"
"11","ttip","2","mode"
"12","kshregio","1","mode"
"13","ag1","3","mode"
"14","kol","0.331648830757035","avg"
"15","kag","0.0681728101466508","avg"
"16","ksz","0.0400317082837891","avg"
"17","ev","2009"," "
