modszer,ev,nyers,magyarazott,nem_magyarazott,kulonbseg
0,0,0,0,0,0
RF,2008,0.0933682953973172,-0.0448394613201604,0.138405895004155,-0.000198138286677363
RF,2008,0.0749957250194431,-0.0508669684978553,0.134885291480959,-0.00902259796366067
OLS,2008,0.0933682953973172,-0.0558117663696915,0.149180061767009,0
OLS,2008,0.0749957250194431,-0.064209809456246,0.148665719838917,-0.00946018536322768
RF,2009,0.0682572966458626,-0.0480076265471361,0.116660540424904,-0.000395617231905732
RF,2009,0.0630273087205886,-0.0537282202119549,0.117067065830362,-0.000311536897818598
OLS,2009,0.0682572966458626,-0.0648020775593192,0.133059374205182,0
OLS,2009,0.0630273087205886,-0.0732880345461968,0.134668045403204,0.00164729786358109
RF,2010,0.0890152980003958,-0.0422311331160277,0.131480456988315,-0.00023402587189203
RF,2010,0.0750822742230195,-0.049067661272673,0.13185791911317,-0.00770798361747715
OLS,2010,0.0890152980003958,-0.0614980554281672,0.150513353428563,0
OLS,2010,0.0750822742230195,-0.070257652244738,0.152282044150571,-0.00694211768281328
RF,2011,0.0968836371913184,-0.0316848333000088,0.12891755989739,-0.00034908940606293
RF,2011,0.0883276762600502,-0.0397298866113509,0.130524280994601,-0.0024667181232001
OLS,2011,0.0968836371913184,-0.0272557075181936,0.124139344709512,0
OLS,2011,0.0883276762600502,-0.03152933205042,0.124125284391249,-0.00426827608077929
RF,2012,0.117646239689552,-0.00864780092360284,0.126474270910377,-0.000180230297221584
RF,2012,0.11848592943829,-0.0095951232425957,0.125541305501731,0.00253974717915462
OLS,2012,0.117646239689552,-0.0125888591256782,0.130235098815231,0
OLS,2012,0.11848592943829,-0.0200007036825767,0.132864053828644,0.00562257929222199
RF,2013,0.0963077277275701,-0.029065054430669,0.125558712775314,-0.000185930617075059
RF,2013,0.0931187169498635,-0.0266398894027073,0.123464889465408,-0.00370628311283738
OLS,2013,0.0963077277275701,-0.0298760415371309,0.126183769264701,0
OLS,2013,0.0931187169498635,-0.0276303343514712,0.12624413630283,-0.00549508500149543
RF,2014,0.106221182564299,-0.00499288976204681,0.111642314455501,-0.000428242129155265
RF,2014,0.0898038529378429,-0.0157210024218806,0.109847090322413,-0.00432223496268946
OLS,2014,0.106221182564299,-0.00848035503903866,0.114701537603338,0
OLS,2014,0.0898038529378429,-0.0127631238535777,0.112777183863649,-0.0102102070722285
RF,2015,0.106594601953812,-0.0138130183430309,0.12045792295242,-5.03026555769281e-05
RF,2015,0.104095435525341,-0.0112924718844631,0.117481550072956,-0.00209364266315148
OLS,2015,0.106594601953812,-0.0170629504989783,0.123657552452791,0
OLS,2015,0.104095435525341,-0.0163770155941894,0.123309055523036,-0.00283660440350531
RF,2016,0.111525310880664,-0.0124291487561869,0.124292010148961,-0.000337550512110596
RF,2016,0.111112745543791,-0.00995300429868706,0.121175499994534,-0.000109750152056165
OLS,2016,0.111525310880664,-0.01377682920225,0.125302140082914,0
OLS,2016,0.111112745543791,-0.0108199296435583,0.123557323100314,-0.00162464791296557
