"","V1","V2","V3"
"1","pred_diff_B_RF_ordered","0.0514703592485943"," "
"2","n","1448"," "
"3","kor","38.6581491712707","avg"
"4","szolgho","64.0966850828729","avg"
"5","iskveg","6.54074585635359","avg"
"6","feor_2","13.3031767955801","avg"
"7","feor_2","14","mode"
"8","ara","3.81629834254144","avg"
"9","kra","4","avg"
"10","letszam","49.4406077348066","avg"
"11","ttip","1","mode"
"12","kshregio","1","mode"
"13","ag1","7","mode"
"14","kol","0.0725138121546961","avg"
"15","kag","0.0124309392265193","avg"
"16","ksz","0.0276243093922652","avg"
"17","ev","2012"," "
